sample	Chrom	Start	End	value
TCGA-44-2668-01A	1	53353309	60077662	0.0769
TCGA-44-2668-01A	1	60077688	67038630	-0.0876
TCGA-44-2668-01A	1	67044015	68241787	0.0494
TCGA-44-2668-01A	1	68242951	113002219	-0.0989
TCGA-44-2668-01A	1	113004733	117257337	-0.3756
TCGA-44-2668-01A	1	117259125	119267783	-0.2674
TCGA-44-2668-01A	1	119276300	119981332	-0.0386
TCGA-44-2668-01A	1	119984738	154857098	0.2498
TCGA-44-2668-01A	1	154859775	155315261	0.446
TCGA-44-2668-01A	1	155317731	247650984	0.2228
TCGA-44-2668-01A	2	480597	94675825	-0.0289
TCGA-44-2668-01A	2	94675975	133955805	0.2227
TCGA-44-2668-01A	2	133956164	133956488	-1.9639
TCGA-44-2668-01A	2	133962149	139119552	0.0688
TCGA-44-2668-01A	2	139120051	139120852	-1.5871
TCGA-44-2668-01A	2	139120904	241537572	0.059
TCGA-44-2668-01A	3	2170634	9720911	-0.2347
TCGA-44-2668-01A	3	9725983	9983246	0.0959
TCGA-44-2668-01A	3	9990575	89773391	-0.2338
TCGA-44-2668-01A	3	89776979	135149091	0.1475
TCGA-44-2668-01A	3	135149110	197812401	0.3197
TCGA-44-2668-01A	4	1059384	170080354	-0.011
TCGA-44-2668-01A	4	170080508	171427515	-0.2761
TCGA-44-2668-01A	4	171429410	171803881	-0.0688
TCGA-44-2668-01A	4	171804073	180154225	-0.2513
TCGA-44-2668-01A	4	180156493	187842528	-0.0272
TCGA-44-2668-01A	5	913983	17454674	0.3414
TCGA-44-2668-01A	5	17455457	31347383	0.3077
TCGA-44-2668-01A	5	31347396	36503363	0.3438
TCGA-44-2668-01A	5	36503674	36503828	1.7134
TCGA-44-2668-01A	5	36505589	50856633	0.3343
TCGA-44-2668-01A	5	50865690	98753881	-0.0298
TCGA-44-2668-01A	5	98755278	98760265	-1.9488
TCGA-44-2668-01A	5	98765973	135393832	-0.0298
TCGA-44-2668-01A	5	135394553	135394830	-2.0361
TCGA-44-2668-01A	5	135395080	141984979	-0.0076
TCGA-44-2668-01A	5	141986582	142259488	0.1913
TCGA-44-2668-01A	5	142263185	146542173	-0.0327
TCGA-44-2668-01A	5	146542370	146542420	-1.8943
TCGA-44-2668-01A	5	146544721	172231342	-0.0302
TCGA-44-2668-01A	5	172231347	172231539	-2.2442
TCGA-44-2668-01A	5	172231777	180934240	-0.0182
TCGA-44-2668-01A	6	1011760	30381517	-0.0112
TCGA-44-2668-01A	6	30382883	31116036	0.1675
TCGA-44-2668-01A	6	31116298	73733835	-0.0063
TCGA-44-2668-01A	6	73735297	90376660	-0.2297
TCGA-44-2668-01A	6	90376743	90575021	-0.001
TCGA-44-2668-01A	6	90576903	138456649	-0.2424
TCGA-44-2668-01A	6	138460884	138465446	-2.096
TCGA-44-2668-01A	6	138468398	141745094	-0.2474
TCGA-44-2668-01A	6	141753829	141813607	-1.4642
TCGA-44-2668-01A	6	141821317	149215100	-0.2477
TCGA-44-2668-01A	6	149215787	170596889	-0.0847
TCGA-44-2668-01A	7	664936	77608956	-0.0237
TCGA-44-2668-01A	7	77610139	77766087	0.2422
TCGA-44-2668-01A	7	77772331	158592540	-0.0246
TCGA-44-2668-01A	8	667625	40480424	-0.2501
TCGA-44-2668-01A	8	40480593	42890734	-9.00E-04
TCGA-44-2668-01A	8	42891907	46558953	-0.2364
TCGA-44-2668-01A	8	46560145	79957495	0.1423
TCGA-44-2668-01A	8	79962768	106833670	0.3297
TCGA-44-2668-01A	8	106833794	115340808	0.2966
TCGA-44-2668-01A	8	115347355	134950408	0.3481
TCGA-44-2668-01A	8	134952728	137600925	0.29
TCGA-44-2668-01A	8	137601287	144182542	0.3525
TCGA-44-2668-01A	9	789794	9070768	-0.2489
TCGA-44-2668-01A	9	9074947	9505609	-0.5715
TCGA-44-2668-01A	9	9511247	24689216	-0.2309
TCGA-44-2668-01A	9	24692116	25398071	0.0413
TCGA-44-2668-01A	9	25404818	30935527	-0.252
TCGA-44-2668-01A	9	30935941	31381382	-0.0446
TCGA-44-2668-01A	9	31381461	31628477	-0.2572
TCGA-44-2668-01A	9	31628929	31757726	-7.00E-04
TCGA-44-2668-01A	9	31758167	38452976	0.0646
TCGA-44-2668-01A	9	38453546	38752071	-0.2352
TCGA-44-2668-01A	9	68423153	115072561	-0.0022
TCGA-44-2668-01A	9	115072662	115073652	-1.2089
TCGA-44-2668-01A	9	115074121	115079137	0.0705
TCGA-44-2668-01A	9	115081470	115131813	-0.2451
TCGA-44-2668-01A	9	115134405	115388013	0.0581
TCGA-44-2668-01A	9	115390920	115462020	-0.1174
TCGA-44-2668-01A	9	115466219	116746688	-0.2459
TCGA-44-2668-01A	9	116746997	126837921	0.001
TCGA-44-2668-01A	9	126838723	135017513	-0.2542
TCGA-44-2668-01A	9	135021093	135248141	-0.0121
TCGA-44-2668-01A	9	135472087	136874454	-0.2803
TCGA-44-2668-01A	9	136875283	138044505	0.0094
TCGA-44-2668-01A	10	366509	133411599	-0.0151
TCGA-44-2668-01A	11	456012	106635414	-0.015
TCGA-44-2668-01A	11	106635873	106636471	-1.8906
TCGA-44-2668-01A	11	106640397	117895424	-0.0096
TCGA-44-2668-01A	11	117896141	117940452	0.2182
TCGA-44-2668-01A	11	117942259	118362452	0.3724
TCGA-44-2668-01A	11	118366623	134272740	0.1777
TCGA-44-2668-01A	12	780472	15535089	0.1284
TCGA-44-2668-01A	12	15536484	15536629	-1.9252
TCGA-44-2668-01A	12	15537017	16358912	0.1298
TCGA-44-2668-01A	12	16361157	16932671	0.2125
TCGA-44-2668-01A	12	16933304	18229736	0.2857
TCGA-44-2668-01A	12	18229773	26102151	0.1847
TCGA-44-2668-01A	12	26104334	27128393	0.1341
TCGA-44-2668-01A	12	27128961	27190250	1.4703
TCGA-44-2668-01A	12	27190293	30731158	0.119
TCGA-44-2668-01A	12	30733207	30945759	0.1608
TCGA-44-2668-01A	12	30946406	32652119	0.2584
TCGA-44-2668-01A	12	32657331	57570686	0.1859
TCGA-44-2668-01A	12	57572289	58123217	0.5023
TCGA-44-2668-01A	12	58126692	61763200	0.1567
TCGA-44-2668-01A	12	61763649	132605822	-0.056
TCGA-44-2668-01A	13	18874255	114226675	-0.0173
TCGA-44-2668-01A	14	20033191	105533894	0.1424
TCGA-44-2668-01A	15	23437561	39359272	-0.0225
TCGA-44-2668-01A	15	39359333	88935232	-0.2429
TCGA-44-2668-01A	15	88935910	100862653	-0.0023
TCGA-44-2668-01A	15	100866324	100869219	-2.0273
TCGA-44-2668-01A	15	100870206	101344124	0.0122
TCGA-44-2668-01A	16	603333	31802978	-0.0074
TCGA-44-2668-01A	16	31808844	60299695	0.0647
TCGA-44-2668-01A	16	60300337	65090997	0.019
TCGA-44-2668-01A	16	65093333	89317317	0.0584
TCGA-44-2668-01A	17	1074619	8946983	-0.2079
TCGA-44-2668-01A	17	8947143	11403776	-0.0794
TCGA-44-2668-01A	17	11403878	11404637	-1.5783
TCGA-44-2668-01A	17	11405832	12991489	-0.0822
TCGA-44-2668-01A	17	12992498	12992667	1.3506
TCGA-44-2668-01A	17	12996146	27640923	-0.0735
TCGA-44-2668-01A	17	27641274	27745030	-0.868
TCGA-44-2668-01A	17	27747965	46733528	-0.0738
TCGA-44-2668-01A	17	46733732	75444150	0.1395
TCGA-44-2668-01A	17	75445009	76025223	0.3553
TCGA-44-2668-01A	17	76032299	82613184	0.1372
TCGA-44-2668-01A	17	82613253	82613318	-1.5783
TCGA-44-2668-01A	17	82613629	82959812	0.1852
TCGA-44-2668-01A	18	326691	22580120	-0.0921
TCGA-44-2668-01A	18	22580179	25338044	-0.002
TCGA-44-2668-01A	18	25338163	25339832	-1.3752
TCGA-44-2668-01A	18	25344232	25442513	-0.0221
TCGA-44-2668-01A	18	25444441	45485606	0.179
TCGA-44-2668-01A	18	45488110	46603009	0.2675
TCGA-44-2668-01A	18	46604655	48197672	0.1992
TCGA-44-2668-01A	18	48201062	74503292	-0.247
TCGA-44-2668-01A	18	74507273	75366538	-0.1382
TCGA-44-2668-01A	18	75367542	79349796	-0.2585
TCGA-44-2668-01A	19	283868	16190302	-0.0147
TCGA-44-2668-01A	19	16190733	16192204	-2.6605
TCGA-44-2668-01A	19	16196014	41224347	8.00E-04
TCGA-44-2668-01A	19	41224981	43459491	-0.2244
TCGA-44-2668-01A	19	43459713	44592553	-0.0094
TCGA-44-2668-01A	19	44595209	45167265	0.2357
TCGA-44-2668-01A	19	45177876	57542760	-0.2433
TCGA-44-2668-01A	19	57544282	58046061	0.0024
TCGA-44-2668-01A	19	58047069	58370362	-0.2412
TCGA-44-2668-01A	20	472817	2276432	-0.0143
TCGA-44-2668-01A	20	2277588	18994835	-0.2544
TCGA-44-2668-01A	20	18995355	24897060	-0.0107
TCGA-44-2668-01A	20	24899779	31258478	-0.2418
TCGA-44-2668-01A	20	31258500	32084806	0.411
TCGA-44-2668-01A	20	32085033	38649926	-0.0114
TCGA-44-2668-01A	20	38651324	40107414	-0.2579
TCGA-44-2668-01A	20	40108224	46979118	-0.0045
TCGA-44-2668-01A	20	46979925	54575173	0.1439
TCGA-44-2668-01A	20	54575372	61636279	-0.0743
TCGA-44-2668-01A	20	61637438	61639145	-1.9456
TCGA-44-2668-01A	20	61643148	63588502	-0.0491
TCGA-44-2668-01A	21	13974127	46262057	-0.0796
TCGA-44-2668-01A	22	16934932	36412940	-0.0652
TCGA-44-2668-01A	22	36415774	36851809	0.1142
TCGA-44-2668-01A	22	36851836	47345708	-0.0629
TCGA-44-2668-01A	22	47353491	47356361	-2.6495
TCGA-44-2668-01A	22	47356532	48940621	-0.0897
TCGA-44-2668-01A	X	3236359	84201969	0.0046
TCGA-44-2668-01A	X	84202340	84660828	0.6453
TCGA-44-2668-01A	X	84661010	111943889	-0.0083
TCGA-44-2668-01A	X	111944361	111948809	-5.145
TCGA-44-2668-01A	X	111949007	116531591	-0.0363
TCGA-44-2668-01A	X	116531879	116531908	-5.6552
TCGA-44-2668-01A	X	116533474	155677414	0.0059
